s.no,moduleId,moduleName,errorMessage
850,14155,VSSB2S-v1-DC,"Hinge not found - /Regular/0 CRANK HINGE-90"
844,14148,V-EP-DC,"Selected Shutter dimensions are not applicable with the choosen Design or Subdesign, Applicable range: WIDTH [30-2400], HEIGHT [30-2400], Check End Panel"
884,14192,W1LFTM-DC,"Couldn't find shutter Name[Lift Up Aluminium Profile Shutter] and Type[APLU]"
883,14191,S1DR-430D-DC,"Couldn't find shutter Name[Drawer Facia] and Type[DF]"
885,14193,HL-HBHB-QS-DC,"Base price for MULTI CORNER BRACKET MCB7 hardware was not found"
886,14194,HL-HBHB-KS-DC,"Base price for MULTI CORNER BRACKET MCB7 hardware was not found"
866,14173,OHS18MM200-600-DC,"Base price for TYROX - 18MM WALL SHELF ROD WITH PLUG - BLACK hardware was not found"
817,14117,VNWA1S1OP-LE-DC,"Hinge not found - /Regular/0 CRANK HINGE-90"
816,14116,VNWA1S1OP-RI-DC,"Hinge not found - /Regular/0 CRANK HINGE-90"
840,14144,VW2S-DC,"Hinge not found - /Regular/0 CRANK HINGE-90"
839,14143,VW1S-DC,"Hinge not found - /Regular/0 CRANK HINGE-90"
848,14153,VSLM1S-DC,"Mirror not found (or) it is not linked to the variant/subcategory/city (or) it is not enabled, Check Vanity Sliding Plain Shutter"
849,14154,VSSB1S-v1-DC,"Hinge not found - /Regular/0 CRANK HINGE-90"
857,14163,Partition Jaali Frame-DC,"Shoji jaali shutter combination not found"
814,14113,BST1DR-DC,"Couldn't find shutter Name[Drawer Facia] and Type[DF]"
818,14118,B3DR3OP-DC,"Couldn't find shutter Name[1st Drawer Facia] and Type[DF]"
815,14114,BST1DR-QD-DC,"Couldn't find shutter Name[Drawer Facia] and Type[DF]"
826,14126,BSB2PT3DR3S-560D-DC,"Couldn't find shutter Name[3rd Drawer Facia] and Type[DF]"
804,14101,T1FS3DR1S-150H-250H-300H-DC,"Couldn't find shutter Name[1st Drawer Facia] and Type[DF]"
805,14102,T1FS3DR1S-200H-250H-250H-DC,"Couldn't find shutter Name[1st Drawer Facia] and Type[DF]"
